Source,Target,Type,Id,Label,Weight,via_ego,edge_type
87,30,Undirected,1937,,2,false,enriched
87,132,Undirected,1938,,2,false,enriched
39,63,Undirected,1939,,2,false,enriched
39,1,Undirected,1940,,2,false,enriched
39,77,Undirected,1941,,2,false,enriched
39,149,Undirected,1942,,2,false,enriched
39,34,Undirected,1943,,2,false,enriched
39,37,Undirected,1944,,2,false,enriched
39,30,Undirected,1945,,2,false,enriched
39,132,Undirected,1946,,2,false,enriched
63,1,Undirected,1947,,2,false,enriched
63,77,Undirected,1948,,2,false,enriched
63,149,Undirected,1949,,2,false,enriched
63,34,Undirected,1950,,2,false,enriched
63,37,Undirected,1951,,2,false,enriched
63,30,Undirected,1952,,2,false,enriched
63,132,Undirected,1953,,2,false,enriched
1,132,Undirected,1954,,2,false,enriched
77,30,Undirected,1955,,2,false,enriched
77,132,Undirected,1956,,2,false,enriched
149,132,Undirected,1957,,2,false,enriched
34,132,Undirected,1958,,2,false,enriched
37,30,Undirected,1959,,2,false,enriched
37,132,Undirected,1960,,2,false,enriched
30,132,Undirected,1961,,2,false,enriched
150,19,Undirected,1962,,2,false,enriched
150,97,Undirected,1963,,2,false,enriched
150,13,Undirected,1964,,2,false,enriched
150,148,Undirected,1965,,2,false,enriched
150,9,Undirected,1966,,4,false,enriched
150,67,Undirected,1967,,2,false,enriched
150,111,Undirected,1968,,2,false,enriched
150,98,Undirected,1969,,2,false,enriched
150,117,Undirected,1970,,2,false,enriched
150,34,Undirected,1971,,4,false,enriched
150,31,Undirected,1972,,6,false,enriched
150,52,Undirected,1973,,2,false,enriched
150,89,Undirected,1974,,2,false,enriched
150,106,Undirected,1975,,2,false,enriched
150,57,Undirected,1976,,4,false,enriched
150,49,Undirected,1977,,4,false,enriched
150,133,Undirected,1978,,4,false,enriched
150,83,Undirected,1979,,4,false,enriched
150,107,Undirected,1980,,4,false,enriched
150,55,Undirected,1981,,4,false,enriched
150,78,Undirected,1982,,6,false,enriched
150,131,Undirected,1983,,2,false,enriched
150,141,Undirected,1984,,4,false,enriched
150,142,Undirected,1985,,2,false,enriched
150,145,Undirected,1986,,4,false,enriched
150,7,Undirected,1987,,2,false,enriched
150,114,Undirected,1988,,4,false,enriched
150,14,Undirected,1989,,8,false,enriched
150,42,Undirected,1990,,2,false,enriched
150,101,Undirected,1991,,12,false,enriched
150,76,Undirected,1992,,14,false,enriched
150,130,Undirected,1993,,2,false,enriched
150,135,Undirected,1994,,2,false,enriched
150,68,Undirected,1995,,2,false,enriched
150,50,Undirected,1996,,2,false,enriched
150,126,Undirected,1997,,2,false,enriched
150,3,Undirected,1998,,4,false,enriched
150,122,Undirected,1999,,16,false,enriched
150,75,Undirected,2000,,8,false,enriched
150,99,Undirected,2001,,4,false,enriched
150,127,Undirected,2002,,2,false,enriched
150,62,Undirected,2003,,4,false,enriched
150,2,Undirected,2004,,4,false,enriched
150,108,Undirected,2005,,6,false,enriched
150,103,Undirected,2006,,2,false,enriched
150,30,Undirected,2007,,16,false,enriched
150,81,Undirected,2008,,4,false,enriched
150,88,Undirected,2009,,12,false,enriched
