Envelope;Filename;placeFrom;placeTo;To;From;Date
S31;MITRO3-S31-CARTA-003;Unknown;Unknown;Luis Mitrovic Balbontín;Agustín Barrientos;02-09-1950
S32;MITRO3-S32-DOC-001;Unknown;Santiago, Chile;Luis Mitrovic Balbontín;Eugene Dubois;22-01-1944
S40;MITRO3-S40-CARTA-001;Moosburg, Austria;Santiago, Chile;Luis Mitrovic Balbontín;Nora;04-12-1969
S41;MITRO3-S41-CARTA-001;Moosburg, Austria;Santiago, Chile;Luis Mitrovic Balbontín;Nora;18-12-1968
S43;MITRO3-S43-CARTA-003;Solothurn, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Rolf Altenburger;30-06-1991
S44;MITRO3-S44-CARTA-002;Arlington, Massachusetts, USA;Santiago, Chile;Luis Mitrovic Balbontín;Fernando Migliassi;30-07-2006
S46A;MITRO3-S46-CARTA-002;Santiago, Chile;Vienna, Austria;Luis Mitrovic Balbontín;Club Alemán de Excursionismo;27-09-1934
S46B;MITRO3-S46-CARTA-003;Santiago, Chile;Vienna, Austria;Club Alemán de Excursionismo;Luis Mitrovic Balbontín;27-09-1934
S47;MITRO3-S47-CARTA-001;Santiago, Chile;Vienna, Austria;Luis Mitrovic Balbontín;Club Alemán de Excursionismo;27-01-1935
S50;MITRO3-S50-CARTA-001;Santiago, Chile;Martinsburg, West Virginia, United States;Strip and Eleonor;Luis Mitrovic Balbontín;01-01-2000
S53;MITRO3-S53-CARTA-001;Santiago, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Ximena;01-01-1942
S55;MITRO3-S55-CARTA-003;Santiago, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Cucho Errázuriz;06-03-1941
S56;MITRO3-S56-CARTA-002;Santiago, Chile;Santiago, Chile;Luis Mitrovic Balbontín;Thomas H. Wesley;15-04-1953
S58;MITRO3-S58-CARTA-002;Zoppot, Poland;Lapad, Dubrovnik, Yugoslavia;Luis Mitrovic Balbontín;Jorge Hubner Gallo;18-08-1935
S64A;MITRO3-S64-CARTA-002;Warsow, Poland;Weimar, Germany;Luis Mitrovic Balbontín;Jorge Hubner Gallo;17-01-1936
S64B;MITRO3-S64-CARTA-002;Warsow, Poland;Weimar, Germany;Luis Mitrovic Balbontín;Jorge Hubner Bezanilla;17-01-1936
S65;MITRO3-S65-CARTA-002;Mollens, Switzerland;Santiago, Chile;Luis Mitrovic Balbontín;Unknown;01-05-1969
