Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S103,Franz J. Kranl,Luis Mitrovic Balbontín,04-11-1974,1974.0,United States (1971–1985),#D4AC0D,"Guatemala City, Guatemala","Brookline, Massachusetts, USA",14.6349,-90.5069,42.3318,-71.1212,1974 · Franz J. Kranl → Luis Mitrovic Balbontín
S104,John G. Dijkstra,Luis Mitrovic Balbontín,21-07-1992,1992.0,Chilean (1938–1970 / 1986–2008),#16A085,"Den Haag, The Netherlands","Santiago, Chile",52.0705,4.3007,-33.4489,-70.6693,1992 · John G. Dijkstra → Luis Mitrovic Balbontín
S105,Luis Mitrovic Balbontín,Angela Gana,22-05-1972,1972.0,United States (1971–1985),#D4AC0D,"Kabul, Afganistan","Washington, United States",34.5553,69.2075,38.9072,-77.0369,1972 · Luis Mitrovic Balbontín → Angela Gana
S107,Matias Astoreca Sartori,Luis Mitrovic Balbontín,13-05-1936,1936.0,European (1934–1938),#9B59B6,"Santiago, Chile","Weimar, Germany",-33.4489,-70.6693,50.9795,11.3235,1936 · Matias Astoreca Sartori → Luis Mitrovic Balbontín
S108,Eugen Himmel,Luis Mitrovic Balbontín,30-03-1970,1970.0,Chilean (1938–1970 / 1986–2008),#16A085,"Buenos Aires, Argentina","Santiago, Chile",-34.6037,-58.3816,-33.4489,-70.6693,1970 · Eugen Himmel → Luis Mitrovic Balbontín
S185,Eugen Himmel,Luis Mitrovic Balbontín,16-04-1939,1939.0,European (1934–1938),#9B59B6,"Berlin, Germany","Santiago, Chile",52.52,13.405,-33.4489,-70.6693,1939 · Eugen Himmel → Luis Mitrovic Balbontín
S109,Eugen Himmel,Luis Mitrovic Balbontín,15-12-1970,1970.0,Chilean (1938–1970 / 1986–2008),#16A085,"Buenos Aires, Argentina","Santiago, Chile",-34.6037,-58.3816,-33.4489,-70.6693,1970 · Eugen Himmel → Luis Mitrovic Balbontín
S110,Matias Astoreca Sartori,Luis Mitrovic Balbontín,Unkown,,Unknown,#9F9F9F,"Paris, France","Weimar, Germany",48.8566,2.3522,50.9795,11.3235,? · Matias Astoreca Sartori → Luis Mitrovic Balbontín
S111,Franz J. Kranl,Luis Mitrovic Balbontín,26-09-1936,1936.0,European (1934–1938),#9B59B6,"Vienna, Austria","London, UK",48.2082,16.3738,51.5074,-0.1278,1936 · Franz J. Kranl → Luis Mitrovic Balbontín
S113,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,14-04-1937,1937.0,European (1934–1938),#9B59B6,"Hamburg, Germany","Vienna, Austria",53.5753,10.0153,48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S114,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,22-11-1935,1935.0,European (1934–1938),#9B59B6,"Jena, Germany","Weimar, Germany",50.9272,11.5897,50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
