Envelope,From,To,Date,year,period_label,period_color,placeFrom,placeTo,lat_from,lon_from,lat_to,lon_to,tooltip
S115,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,24-03-1936,1936.0,European (1934–1938),#9B59B6,"Jena, Germany","Weimar, Germany",50.9272,11.5897,50.9795,11.3235,1936 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S116,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,04-12-1935,1935.0,European (1934–1938),#9B59B6,"Jena, Germany","Weimar, Germany",50.9272,11.5897,50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S117,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,25-09-1935,1935.0,European (1934–1938),#9B59B6,"Jena, Germany","Weimar, Germany",50.9272,11.5897,50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S118,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,24-11-1935,1935.0,European (1934–1938),#9B59B6,"Jena, Germany","Weimar, Germany",50.9272,11.5897,50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S119,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,04-03-1937,1937.0,European (1934–1938),#9B59B6,"Jena, Germany","Vienna, Austria",50.9272,11.5897,48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S120,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,07-03-1937,1937.0,European (1934–1938),#9B59B6,"Jena, Germany","Vienna, Austria",50.9272,11.5897,48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín
S121,Aunt Elisa,Luis Mitrovic Balbontín,25-02-1940,1940.0,Chilean (1938–1970 / 1986–2008),#16A085,"Dubrovnik, Croatia","Santiago, Chile",42.6507,18.0944,-33.4489,-70.6693,1940 · Aunt Elisa → Luis Mitrovic Balbontín
S122A,Jorge Hubner Gallo,Luis Mitrovic Balbontín,06-04-1936,1936.0,European (1934–1938),#9B59B6,"Warsow, Poland","Weimar, Germany",52.2297,21.0122,50.9795,11.3235,1936 · Jorge Hubner Gallo → Luis Mitrovic Balbontín
S122B,Ofelia Gallo Schiavetti,Luis Mitrovic Balbontín,06-04-1936,1936.0,European (1934–1938),#9B59B6,"Warsow, Poland","Weimar, Germany",52.2297,21.0122,50.9795,11.3235,1936 · Ofelia Gallo Schiavetti → Luis Mitrovic Balbontín
S122C,G Diaz,Jorge Hubner Gallo,06-03-1936,1936.0,European (1934–1938),#9B59B6,"Santiago, Chile","Warsow, Poland",-33.4489,-70.6693,52.2297,21.0122,1936 · G Diaz → Jorge Hubner Gallo
S194,Juan Echenique Guzmán; Pilola Celis,Luis Mitrovic Balbontín,20-05-1977,1977.0,United States (1971–1985),#D4AC0D,"Congonhas, Brasil","Brookline, Massachusetts, USA",-20.5003,-43.8614,42.3318,-71.1212,1977 · Juan Echenique Guzmán; Pilola Celis → Luis Mitrovic Balbontín
