Envelope,From,To,Date,year,period_label,period_color,mitrovic_place,mitrovic_lat,mitrovic_lon,tooltip,carta_count
S105,Luis Mitrovic Balbontín,Angela Gana,22-05-1972,1972.0,United States (1971–1985),#D4AC0D,"Kabul, Afganistan",34.5553,69.2075,1972 · Luis Mitrovic Balbontín → Angela Gana,1
S107,Matias Astoreca Sartori,Luis Mitrovic Balbontín,13-05-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Matias Astoreca Sartori → Luis Mitrovic Balbontín,21
S108,Eugen Himmel,Luis Mitrovic Balbontín,30-03-1970,1970.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1970 · Eugen Himmel → Luis Mitrovic Balbontín,64
S185,Eugen Himmel,Luis Mitrovic Balbontín,16-04-1939,1939.0,European (1934–1938),#9B59B6,"Santiago, Chile",-33.4489,-70.6693,1939 · Eugen Himmel → Luis Mitrovic Balbontín,64
S109,Eugen Himmel,Luis Mitrovic Balbontín,15-12-1970,1970.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1970 · Eugen Himmel → Luis Mitrovic Balbontín,64
S110,Matias Astoreca Sartori,Luis Mitrovic Balbontín,Unkown,,Unknown,#9F9F9F,"Weimar, Germany",50.9795,11.3235,? · Matias Astoreca Sartori → Luis Mitrovic Balbontín,21
S111,Franz J. Kranl,Luis Mitrovic Balbontín,26-09-1936,1936.0,European (1934–1938),#9B59B6,"London, UK",51.5074,-0.1278,1936 · Franz J. Kranl → Luis Mitrovic Balbontín,2
S113,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,14-04-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S114,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,22-11-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S115,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,24-03-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S116,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,04-12-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S117,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,25-09-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S118,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,24-11-1935,1935.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1935 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S119,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,04-03-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S120,Gonzalo Latorre Salamanca,Luis Mitrovic Balbontín,07-03-1937,1937.0,European (1934–1938),#9B59B6,"Vienna, Austria",48.2082,16.3738,1937 · Gonzalo Latorre Salamanca → Luis Mitrovic Balbontín,21
S121,Aunt Elisa,Luis Mitrovic Balbontín,25-02-1940,1940.0,Chilean (1938–1970 / 1986–2008),#16A085,"Santiago, Chile",-33.4489,-70.6693,1940 · Aunt Elisa → Luis Mitrovic Balbontín,64
S122A,Jorge Hubner Gallo,Luis Mitrovic Balbontín,06-04-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Jorge Hubner Gallo → Luis Mitrovic Balbontín,21
S122B,Ofelia Gallo Schiavetti,Luis Mitrovic Balbontín,06-04-1936,1936.0,European (1934–1938),#9B59B6,"Weimar, Germany",50.9795,11.3235,1936 · Ofelia Gallo Schiavetti → Luis Mitrovic Balbontín,21
